id,twin,dlhrwage,deduc1,deduc2,dten,dmarried,duncov,age,white,male,hrwage1,educ,sibling_educ,hrwage2,lnhrwage,dlnhrwage,deduc
1,1,.2593466,0,0,1.333,0,0,33.2512,1,0,8.68,16,16,11.25,2.161021,-.2593467,0
1,2,.2593466,0,0,1.333,0,0,33.2512,1,0,8.68,16,16,11.25,2.420368,-.2593467,0
2,1,,-1,1,8,1,0,54.05339,1,0,7.85,10,9,,2.060513,,1
2,2,,-1,1,8,1,0,54.05339,1,0,7.85,9,10,,,,1
3,1,.7213181,7,4,3,-1,0,43.57016,1,0,8.75,12,19,18,2.169054,-.721318,-7
3,2,.7213181,7,4,3,-1,0,43.57016,1,0,8.75,19,12,18,2.890372,-.721318,-7
4,1,.011582,0,0,-2,0,1,30.96783,1,1,16.31,12,12,16.5,2.791778,-.0115821,0
4,2,.011582,0,0,-2,0,1,30.96783,1,1,16.31,12,12,16.5,2.80336,-.0115821,0
5,1,-.5609847,0,1,2.917,0,-1,34.63381,1,1,16.85,14,14,9.6154,2.824351,.5609846,0
5,2,-.5609847,0,1,2.917,0,-1,34.63381,1,1,16.85,14,14,9.6154,2.263366,.5609846,0
6,1,,2,-2,24,1,0,71.60301,1,0,,14,16,,,,-2
6,2,,2,-2,24,1,0,71.60301,1,0,,16,14,,,,-2
7,1,1.52326,-2,-2,3,1,0,34.97878,1,0,7.63,15,13,35,2.032088,-1.52326,2
7,2,1.52326,-2,-2,3,1,0,34.97878,1,0,7.63,13,15,35,3.555348,-1.52326,2
8,1,,-1,-2,25.5,0,0,61.45106,1,0,,14,13,35,,,1
8,2,,-1,-2,25.5,0,0,61.45106,1,0,,13,14,35,3.555348,,1
9,1,-.2231435,-2,1,1,-1,0,29.33881,1,1,15,14,12,12,2.70805,.2231436,2
9,2,-.2231435,-2,1,1,-1,0,29.33881,1,1,15,12,14,12,2.484907,.2231436,2
10,1,-.4700036,0,0,-5,0,0,47.60575,1,0,10,12,12,6.25,2.302585,.4700036,0
10,2,-.4700036,0,0,-5,0,0,47.60575,1,0,10,12,12,6.25,1.832582,.4700036,0
11,1,.0517511,-1,-2,9,0,0,51.90144,1,1,16.38,13,12,17.25,2.796061,-.0517511,1
11,2,.0517511,-1,-2,9,0,0,51.90144,1,1,16.38,12,13,17.25,2.847812,-.0517511,1
12,1,.2876821,0,0,5,0,0,36.07666,1,1,12,12,12,16,2.484907,-.2876821,0
12,2,.2876821,0,0,5,0,0,36.07666,1,1,12,12,12,16,2.772589,-.2876821,0
13,1,,4,4,-9.5,0,0,32.08213,1,0,31.25,12,16,,3.442019,,-4
13,2,,4,4,-9.5,0,0,32.08213,1,0,31.25,16,12,,,,-4
14,1,-.4700036,-2,-3,-7,0,0,48.12046,1,0,25,19,17,15.625,3.218876,.4700036,2
14,2,-.4700036,-2,-3,-7,0,0,48.12046,1,0,25,17,19,15.625,2.748872,.4700036,2
15,1,.3056012,2,2,,0,-1,33.95483,1,0,7.19,12,14,9.76,1.972691,-.3056012,-2
15,2,.3056012,2,2,,0,-1,33.95483,1,0,7.19,14,12,9.76,2.278292,-.3056012,-2
16,1,,4,4,,-1,0,36.04107,1,0,,14,18,,,,-4
16,2,,4,4,,-1,0,36.04107,1,0,,18,14,,,,-4
17,1,-.3364722,0,0,.417,0,0,27.17591,1,0,2.5,16,16,1.785714,.9162908,.3364723,0
17,2,-.3364722,0,0,.417,0,0,27.17591,1,0,2.5,16,16,1.785714,.5798185,.3364723,0
18,1,,1,0,,1,0,24.54483,1,1,,12,13,5.25,,,-1
18,2,,1,0,,1,0,24.54483,1,1,,13,12,5.25,1.658228,,-1
19,1,.6286086,2,-2,15,1,1,39.34018,1,1,8,12,14,15,2.079442,-.6286087,-2
19,2,.6286086,2,-2,15,1,1,39.34018,1,1,8,14,12,15,2.70805,-.6286087,-2
20,1,.3215836,1,-1,0,0,0,38.53251,1,1,10.875,12,13,15,2.386467,-.3215837,-1
20,2,.3215836,1,-1,0,0,0,38.53251,1,1,10.875,13,12,15,2.70805,-.3215837,-1
21,1,,0,0,-2,0,1,24.65708,1,0,,12,12,8.7,,,0
21,2,,0,0,-2,0,1,24.65708,1,0,,12,12,8.7,2.163323,,0
22,1,-.3786539,1,1,-.5,0,1,23.68241,1,0,16.66667,16,17,11.41304,2.813411,.378654,-1
22,2,-.3786539,1,1,-.5,0,1,23.68241,1,0,16.66667,17,16,11.41304,2.434757,.378654,-1
23,1,-.0785557,3,2,4,0,-1,35.66325,1,0,14.56,12,15,13.46,2.678278,.0785556,-3
23,2,-.0785557,3,2,4,0,-1,35.66325,1,0,14.56,15,12,13.46,2.599722,.0785556,-3
24,1,-.3254224,0,0,-.083,0,0,21.34976,0,1,9,14,14,6.5,2.197225,.3254224,0
24,2,-.3254224,0,0,-.083,0,0,21.34976,0,1,9,14,14,6.5,1.871802,.3254224,0
25,1,,1,-1,0,0,0,28.90075,1,1,,14,15,8.583333,,,-1
25,2,,1,-1,0,0,0,28.90075,1,1,,15,14,8.583333,2.149822,,-1
26,1,,0,0,0,0,0,30.00685,1,1,,12,12,13,,,0
26,2,,0,0,0,0,0,30.00685,1,1,,12,12,13,2.564949,,0
27,1,-.4946962,0,0,-6.5,-1,-1,33.63997,1,0,16.4,12,12,10,2.797281,.4946961,0
27,2,-.4946962,0,0,-6.5,-1,-1,33.63997,1,0,16.4,12,12,10,2.302585,.4946961,0
28,1,.4970323,2,-2,-1,0,-1,24.64066,1,0,7.3,14,16,12,1.987874,-.4970323,-2
28,2,.4970323,2,-2,-1,0,-1,24.64066,1,0,7.3,16,14,12,2.484907,-.4970323,-2
29,1,.1670541,0,0,1,0,0,46.3655,1,0,6.05,12,12,7.15,1.800058,-.1670542,0
29,2,.1670541,0,0,1,0,0,46.3655,1,0,6.05,12,12,7.15,1.967112,-.1670542,0
30,1,-1.446919,-5,-6,-2,0,0,43.85489,1,1,34,20,15,8,3.526361,1.446919,5
30,2,-1.446919,-5,-6,-2,0,0,43.85489,1,1,34,15,20,8,2.079442,1.446919,5
31,1,2.014903,0,0,25,0,1,61.87269,0,1,5,12,12,37.5,1.609438,-2.014903,0
31,2,2.014903,0,0,25,0,1,61.87269,0,1,5,12,12,37.5,3.624341,-2.014903,0
32,1,1.504077,0,0,1.5,0,1,24.11773,1,1,5,16,16,22.5,1.609438,-1.504077,0
32,2,1.504077,0,0,1.5,0,1,24.11773,1,1,5,16,16,22.5,3.113515,-1.504077,0
33,1,,0,0,30,0,1,61.51677,1,1,,12,12,25,,,0
33,2,,0,0,30,0,1,61.51677,1,1,,12,12,25,3.218876,,0
34,1,.0870114,3,1,-1.5,1,-1,32.59411,1,1,11,11,14,12,2.397895,-.0870113,-3
34,2,.0870114,3,1,-1.5,1,-1,32.59411,1,1,11,14,11,12,2.484907,-.0870113,-3
35,1,.2876821,0,0,24,0,0,53.85352,1,1,12,12,12,16,2.484907,-.2876821,0
35,2,.2876821,0,0,24,0,0,53.85352,1,1,12,12,12,16,2.772589,-.2876821,0
36,1,-.3829922,-2,2,14.75,-1,1,44.01917,1,1,22,18,16,15,3.091043,.3829923,2
36,2,-.3829922,-2,2,14.75,-1,1,44.01917,1,1,22,16,18,15,2.70805,.3829923,2
37,1,-.4780358,-6,-4,-1,0,0,39.61944,0,1,25,18,12,15.5,3.218876,.4780359,6
37,2,-.4780358,-6,-4,-1,0,0,39.61944,0,1,25,12,18,15.5,2.74084,.4780359,6
38,1,1.034074,0,0,.083,0,0,22.07255,0,1,6.666667,16,16,18.75,1.89712,-1.034074,0
38,2,1.034074,0,0,.083,0,0,22.07255,0,1,6.666667,16,16,18.75,2.931194,-1.034074,0
39,1,.2719337,0,0,.5,0,0,38.02601,1,0,11.42857,12,12,15,2.436116,-.2719338,0
39,2,.2719337,0,0,.5,0,0,38.02601,1,0,11.42857,12,12,15,2.70805,-.2719338,0
40,1,-1.071584,-2,-2,-19,0,0,53.63723,1,1,20,14,12,6.849315,2.995732,1.071584,2
40,2,-1.071584,-2,-2,-19,0,0,53.63723,1,1,20,12,14,6.849315,1.924149,1.071584,2
41,1,.1082164,0,0,2,0,-1,28.32307,1,0,13.4615,16,16,15,2.599834,-.1082165,0
41,2,.1082164,0,0,2,0,-1,28.32307,1,0,13.4615,16,16,15,2.70805,-.1082165,0
42,1,.1458519,0,-1,-7,0,0,29.86174,1,0,6.05,12,12,7,1.800058,-.1458519,0
42,2,.1458519,0,-1,-7,0,0,29.86174,1,0,6.05,12,12,7,1.94591,-.1458519,0
43,1,-.3483067,-2,-2,-2,0,0,36.98563,1,1,14.16667,16,14,10,2.650892,.3483067,2
43,2,-.3483067,-2,-2,-2,0,0,36.98563,1,1,14.16667,14,16,10,2.302585,.3483067,2
44,1,.6004378,0,-2,-4,0,0,44.23272,0,0,22.85714,18,18,41.66667,3.129264,-.6004379,0
44,2,.6004378,0,-2,-4,0,0,44.23272,0,0,22.85714,18,18,41.66667,3.729702,-.6004379,0
45,1,-.1339124,0,0,-1.875,0,0,22.15469,1,0,4.6875,16,16,4.1,1.544899,.1339124,0
45,2,-.1339124,0,0,-1.875,0,0,22.15469,1,0,4.6875,16,16,4.1,1.410987,.1339124,0
46,1,-.0963875,0,0,0,0,0,40.04928,1,0,22.02371,13,13,20,3.09212,.0963874,0
46,2,-.0963875,0,0,0,0,0,40.04928,1,0,22.02371,13,13,20,2.995732,.0963874,0
47,1,-.5108256,-1,1,-12,0,0,53.66461,1,1,96.15375,15,14,57.69225,4.565948,.5108256,1
47,2,-.5108256,-1,1,-12,0,0,53.66461,1,1,96.15375,14,15,57.69225,4.055123,.5108256,1
48,1,.5500517,-1,0,-3.5,0,0,35.20055,1,0,11.5384,17,16,20,2.445681,-.5500517,1
48,2,.5500517,-1,0,-3.5,0,0,35.20055,1,0,11.5384,16,17,20,2.995732,-.5500517,1
49,1,.2468601,-4,-4,24.5,0,1,61.15811,1,1,12.5,16,12,16,2.525729,-.24686,4
49,2,.2468601,-4,-4,24.5,0,1,61.15811,1,1,12.5,12,16,16,2.772589,-.24686,4
50,1,.2776317,0,-1,-14.25,0,0,37.21834,1,1,5,12,12,6.6,1.609438,-.2776316,0
50,2,.2776317,0,-1,-14.25,0,0,37.21834,1,1,5,12,12,6.6,1.88707,-.2776316,0
51,1,.1823216,0,-1,21,0,1,52.93361,1,1,33.33333,20,20,40,3.506558,-.1823215,0
51,2,.1823216,0,-1,21,0,1,52.93361,1,1,33.33333,20,20,40,3.688879,-.1823215,0
52,1,.2772108,0,0,1,0,0,23.89049,1,1,7.2,14,14,9.5,1.974081,-.2772107,0
52,2,.2772108,0,0,1,0,0,23.89049,1,1,7.2,14,14,9.5,2.251292,-.2772107,0
53,1,.1670541,0,0,0,0,0,35.60849,1,1,11,14,14,13,2.397895,-.1670539,0
53,2,.1670541,0,0,0,0,0,35.60849,1,1,11,14,14,13,2.564949,-.1670539,0
54,1,.293215,0,0,21,0,1,58.13279,1,1,7.66,12,12,10.27,2.036012,-.293215,0
54,2,.293215,0,0,21,0,1,58.13279,1,1,7.66,12,12,10.27,2.329227,-.293215,0
55,1,-.1238586,2,1,-3,0,0,63.718,1,1,16.97784,13,15,15,2.831909,.1238585,-2
55,2,-.1238586,2,1,-3,0,0,63.718,1,1,16.97784,15,13,15,2.70805,.1238585,-2
56,1,-1.272966,-3,-3,-13,-1,0,42.08624,1,1,50,19,16,14,3.912023,1.272966,3
56,2,-1.272966,-3,-3,-13,-1,0,42.08624,1,1,50,16,19,14,2.639057,1.272966,3
57,1,.1133287,1,1,-3.5,0,1,23.00068,1,1,12.5,13,14,14,2.525729,-.1133287,-1
57,2,.1133287,1,1,-3.5,0,1,23.00068,1,1,12.5,14,13,14,2.639057,-.1133287,-1
58,1,0,0,0,-.084,0,0,19.8987,1,1,6,13,13,6,1.791759,0,0
58,2,0,0,0,-.084,0,0,19.8987,1,1,6,13,13,6,1.791759,0,0
59,1,.3364722,0,0,-.148,0,0,24.73101,1,1,3.571429,18,18,5,1.272966,-.3364723,0
59,2,.3364722,0,0,-.148,0,0,24.73101,1,1,3.571429,18,18,5,1.609438,-.3364723,0
60,1,0,0,0,4,-1,0,28.73648,1,0,12,16,16,12,2.484907,0,0
60,2,0,0,0,4,-1,0,28.73648,1,0,12,16,16,12,2.484907,0,0
61,1,-.3174489,-1,5,4.5,1,0,56.47912,1,0,14.423,13,12,10.5,2.668824,.3174489,1
61,2,-.3174489,-1,5,4.5,1,0,56.47912,1,0,14.423,12,13,10.5,2.351375,.3174489,1
62,1,.0556889,-1,0,3,0,-1,61.47023,1,0,11.35,14,13,12,2.429218,-.0556889,1
62,2,.0556889,-1,0,3,0,-1,61.47023,1,0,11.35,13,14,12,2.484907,-.0556889,1
63,1,.3884237,0,0,1,0,0,42.12183,1,0,19.375,18,18,28.57143,2.963984,-.3884237,0
63,2,.3884237,0,0,1,0,0,42.12183,1,0,19.375,18,18,28.57143,3.352407,-.3884237,0
64,1,-.4068947,-2,-2,-4,0,0,33.74127,1,1,17.5,16,14,11.65,2.862201,.4068949,2
64,2,-.4068947,-2,-2,-4,0,0,33.74127,1,1,17.5,14,16,11.65,2.455306,.4068949,2
65,1,-.1397619,0,-2,-.583,0,0,21.80424,1,1,5.75,13,13,5,1.7492,.1397619,0
65,2,-.1397619,0,-2,-.583,0,0,21.80424,1,1,5.75,13,13,5,1.609438,.1397619,0
66,1,0,0,0,0,1,0,39.35113,1,0,11,12,12,11,2.397895,0,0
66,2,0,0,0,0,1,0,39.35113,1,0,11,12,12,11,2.397895,0,0
67,1,,0,0,-4,0,0,70.54346,1,1,,8,8,5.833333,,,0
67,2,,0,0,-4,0,0,70.54346,1,1,,8,8,5.833333,1.763589,,0
68,1,0,0,0,-.5,0,0,24.61054,1,1,7,18,18,7,1.94591,0,0
68,2,0,0,0,-.5,0,0,24.61054,1,1,7,18,18,7,1.94591,0,0
69,1,.3541718,2,2,.5,0,1,31.4579,1,0,21.05263,14,16,30,3.047025,-.354172,-2
69,2,.3541718,2,2,.5,0,1,31.4579,1,0,21.05263,16,14,30,3.401197,-.354172,-2
70,1,.1017827,1,-1,-.333,-1,0,30.65298,1,0,7,13,14,7.75,1.94591,-.1017827,-1
70,2,.1017827,1,-1,-.333,-1,0,30.65298,1,0,7,14,13,7.75,2.047693,-.1017827,-1
71,1,.1612681,0,1,2,0,0,31.8987,1,0,10,15,15,11.75,2.302585,-.1612682,0
71,2,.1612681,0,1,2,0,0,31.8987,1,0,10,15,15,11.75,2.463853,-.1612682,0
72,1,.6931472,0,0,-3.5,-1,0,37.72211,1,0,2.5,16,16,5,.9162908,-.6931472,0
72,2,.6931472,0,0,-3.5,-1,0,37.72211,1,0,2.5,16,16,5,1.609438,-.6931472,0
73,1,-.513666,-1,-4,4,1,1,33.59069,0,0,18.80333,16,15,11.25,2.934034,.5136659,1
73,2,-.513666,-1,-4,4,1,1,33.59069,0,0,18.80333,15,16,11.25,2.420368,.5136659,1
74,1,.1670541,0,0,4.5,0,0,32.29021,0,0,27.5,16,16,32.5,3.314186,-.1670539,0
74,2,.1670541,0,0,4.5,0,0,32.29021,0,0,27.5,16,16,32.5,3.48124,-.1670539,0
75,1,-.6846928,-2,0,0,0,0,33.46201,1,1,5.7692,14,12,2.909091,1.752533,.6846927,2
75,2,-.6846928,-2,0,0,0,0,33.46201,1,1,5.7692,12,14,2.909091,1.067841,.6846927,2
76,1,,1,3,3,0,1,27.13484,1,0,,19,20,23.75,,,-1
76,2,,1,3,3,0,1,27.13484,1,0,,20,19,23.75,3.167583,,-1
77,1,0,-1,-2,-2.981,0,1,30.81999,1,0,15,16,15,15,2.70805,0,1
77,2,0,-1,-2,-2.981,0,1,30.81999,1,0,15,15,16,15,2.70805,0,1
78,1,.029742,0,0,3.5,0,0,32.34771,1,0,6.309524,12,12,6.5,1.84206,-.029742,0
78,2,.029742,0,0,3.5,0,0,32.34771,1,0,6.309524,12,12,6.5,1.871802,-.029742,0
79,1,,2,-1,-.5,0,0,40.86242,1,0,,14,16,,,,-2
79,2,,2,-1,-.5,0,0,40.86242,1,0,,16,14,,,,-2
80,1,1.966113,0,0,8.833,0,0,30.35181,1,0,3.5,12,12,25,1.252763,-1.966113,0
80,2,1.966113,0,0,8.833,0,0,30.35181,1,0,3.5,12,12,25,3.218876,-1.966113,0
81,1,.1736096,3,4,-.833,0,0,44.70636,1,0,6.725,15,18,8,1.905832,-.1736096,-3
81,2,.1736096,3,4,-.833,0,0,44.70636,1,0,6.725,18,15,8,2.079442,-.1736096,-3
82,1,-.2762534,7,7,-9,0,0,31.80835,1,1,14.5,12,19,11,2.674149,.2762532,-7
82,2,-.2762534,7,7,-9,0,0,31.80835,1,1,14.5,19,12,11,2.397895,.2762532,-7
83,1,2.109747,0,0,3.25,0,0,19.22245,1,1,7.462687,12,12,61.53846,2.009916,-2.109747,0
83,2,2.109747,0,0,3.25,0,0,19.22245,1,1,7.462687,12,12,61.53846,4.119662,-2.109747,0
84,1,.2623643,0,0,-4,1,0,40.50103,1,1,9.090909,16,16,11.81818,2.207275,-.2623644,0
84,2,.2623643,0,0,-4,1,0,40.50103,1,1,9.090909,16,16,11.81818,2.469639,-.2623644,0
85,1,-.5004628,0,0,-17,0,1,61.95756,1,0,8,13,13,4.85,2.079442,.5004629,0
85,2,-.5004628,0,0,-17,0,1,61.95756,1,0,8,13,13,4.85,1.578979,.5004629,0
86,1,-.7985077,-1,-1,-.461,0,0,26.6694,1,0,11.11111,16,15,5,2.407946,.7985077,1
86,2,-.7985077,-1,-1,-.461,0,0,26.6694,1,0,11.11111,15,16,5,1.609438,.7985077,1
87,1,,0,0,3,0,-1,65.98494,1,1,,10,10,,,,0
87,2,,0,0,3,0,-1,65.98494,1,1,,10,10,,,,0
88,1,-.0011534,0,0,0,0,0,44.84873,1,1,17.35,13,13,17.33,2.853593,.0011535,0
88,2,-.0011534,0,0,0,0,0,44.84873,1,1,17.35,13,13,17.33,2.852439,.0011535,0
89,1,.0148886,0,0,4.583,-1,0,29.18549,1,1,10,12,12,10.15,2.302585,-.0148885,0
89,2,.0148886,0,0,4.583,-1,0,29.18549,0,1,10,12,12,10.15,2.317474,-.0148885,0
90,1,,0,0,-14.5,0,-1,56.85695,1,1,16.5,12,12,,2.80336,,0
90,2,,0,0,-14.5,0,-1,56.85695,1,1,16.5,12,12,,,,0
91,1,,-2,-1,29,0,1,55.91239,1,1,,14,12,20,,,2
91,2,,-2,-1,29,0,1,55.91239,1,1,,12,14,20,2.995732,,2
92,1,,0,0,-4,0,0,72,1,0,,12,12,,,,0
92,2,,0,0,-4,0,0,72,1,0,,12,12,,,,0
93,1,.1383047,-1,4,2,0,1,41.08419,1,0,10.45,14,13,12,2.346602,-.1383047,1
93,2,.1383047,-1,4,2,0,1,41.08419,1,0,10.45,13,14,12,2.484907,-.1383047,1
94,1,-.2231435,1,0,-3,-1,0,30.45038,0,0,12.5,14,15,10,2.525729,.2231436,-1
94,2,-.2231435,1,0,-3,-1,0,30.45038,1,0,12.5,15,14,10,2.302585,.2231436,-1
95,1,-.6931472,-4,-4,-2,1,0,51.84121,1,0,15,16,12,7.5,2.70805,.6931472,4
95,2,-.6931472,-4,-4,-2,1,0,51.84121,1,0,15,12,16,7.5,2.014903,.6931472,4
96,1,.4989912,0,0,-1.917,0,0,20.42984,1,0,4.25,14,14,7,1.446919,-.4989911,0
96,2,.4989912,0,0,-1.917,0,0,20.42984,1,0,4.25,14,14,7,1.94591,-.4989911,0
97,1,.0999746,-4,-4,12,0,0,32.35866,1,0,8.75,16,12,9.67,2.169054,-.0999746,4
97,2,.0999746,-4,-4,12,0,0,32.35866,1,0,8.75,12,16,9.67,2.269028,-.0999746,4
98,1,-.0804873,0,0,13,-1,0,50.14921,1,0,7.5,12,12,6.92,2.014903,.0804873,0
98,2,-.0804873,0,0,13,-1,0,50.14921,1,0,7.5,12,12,6.92,1.934416,.0804873,0
99,1,-.9808292,-2,-6,-.5,-1,0,42.54894,1,1,30,18,16,11.25,3.401197,.9808292,2
99,2,-.9808292,-2,-6,-.5,-1,0,42.54894,1,1,30,16,18,11.25,2.420368,.9808292,2
100,1,.2657032,0,0,,0,0,27.74812,1,1,6.666667,12,12,8.695652,1.89712,-.2657032,0
100,2,.2657032,0,0,,0,0,27.74812,1,1,6.666667,12,12,8.695652,2.162823,-.2657032,0
101,1,,-4,0,-7.75,0,0,62.57906,0,1,12,16,12,,2.484907,,4
101,2,,-4,0,-7.75,0,0,62.57906,0,1,12,12,16,,,,4
